work_location,company,job_title,skills,id
 Tunisia,VERMEG for Banking & Insurance Software · ,software testing engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",19
 Tunisia,Harington Technologies,security intern,"unix, security, agile methodology, networking",20
 Tunisia,Wakahaw · Stage,business intelligence developer,"tableau, power bi, data warehousing, etl, business intelligence, bi, business intelligence",22
 Tunisia,TEDxSidiBouSaid,curation manager,"product development, product strategy, market analysis, user research, roadmapping",23
 Tunisia,TEDxSidiBouSaid,production manager,"product development, product strategy, market analysis, user research, roadmapping",24
"Tunis,  Tunisia",VERMEG for Banking & Insurance Software,software engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",25
"Tunis,  Tunisia",Sofia Technologies · Stage,web development trainee,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",26
"Tunis,  Tunisia",Groupe ADAMING · ,full stack developer,"javascript, python, java, mysql, restful apis, front-end, back-end, angular, symphony",27
 Tunisia,VERMEG for Insurance & Finance Software,cybersecurity engineer,"cybersecurity frameworks, threat intelligence, incident response, security operations center soc, siem",28
 Tunisia,VERMEG for Banking & Insurance Software · ,software developer,"java, python, c++, agile methodology, software design patterns",30
 Tunisia,STMicroelectronics,tester software engineer,"test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design",31
"Dar Chaabane,  Nabeul, Tunisia",VERMEG for Banking & Insurance Software,software development engineer,"java, python, c++, agile methodology, software design patterns\t",32
"Tunis,  Tunisia",VERMEG for Banking & Insurance Software · ,software programmer,"java, python, c++, agile methodology, software design patterns, front-end, design, angular, typescript",35
"Tunis,  Tunisia",Consulting @ Logiciels & Systèmes · Stage,web developer internship,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",36
"Tunis,  Tunisia",RBB Africa · Stage,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",37
 Tunisia,Société Générale,stagiaire business intelligence,"tableau, power bi, data warehousing, etl, business intelligence, bi, business intelligence",38
 Tunisia,Setecstra,mobile development summer internship,"java, swift, react native, ios development, android development",39
 Tunisia,IBM,big data developer mastery award,"hadoop, spark, nosql, data warehousing, data visualization",40
" Béja, Tunisia",VERMEG for Banking & Insurance Software · ,software developer,"java, python, c++, agile methodology, software design patterns",41
" Béja, Tunisia",OACA · Stage,course development,"java, python, c++, agile methodology, software design patterns",42
"Ariana Ville,  Ariana, Tunisia",VERMEG for Banking & Insurance Software,is support analyst,"requirements gathering, process modeling, systems analysis, data mapping, user acceptance testing uat",45
 Tunisia,Bertsch Innovation GmbH,j2ee developer,"java, springboot, agile methodology, software design patterns, apis, jee, j2e",46
 Tunisia,Business & Decision Tunisie,engineering internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",47
 Tunisia,VERMEG for Banking & Insurance Software,engineering internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",48
 Tunisia,MB design,engineering internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",49
 Tunisia,STE SYSTEMS PLUS,engineering internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",50
 Tunisia,VERMEG for Banking & Insurance Software,intern networking engineer,"tcp/ip, cisco, firewalls, routing, switching",51
 Tunisia,DigitalMania Studio,support intern,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",52
"La Médina,  Sfax, Tunisia",VERMEG for Banking & Insurance Software,full stack java angular developer,"javascript, python, java, mysql, restful apis, angular, typescript, springboot",53
"La Médina,  Sfax, Tunisia",Bilog,mobile developer,"java, swift, react native, ios development, android development, ios, android, swift, kotlin, mobile app design",54
"La Médina,  Sfax, Tunisia",Agence web BWS,web designergraphic design et web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js, web design, graphic design",55
"La Médina,  Sfax, Tunisia",PFE,mobile developer,"java, swift, react native, ios development, android development, ios, android, swift, kotlin, mobile app design",56
" Ben Arous, Tunisia",VERMEG for Banking & Insurance Software,software developer,"java, python, c++, agile methodology, software design patterns",58
" Ben Arous, Tunisia",SMART-WAVES,back end developer,"python, java, node.js, restful apis, database design, back-end",59
" Ben Arous, Tunisia",QNB Group · Stage,development analyst,"tableau, power bi, data warehousing, etl, business intelligence",60
 Tunisia,APP4MOB · Stage,developer mobile applications,"java, swift, react native, ios development, android development",61
 Tunisia,Centre national d'information · Stage,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",62
 Tunisia,Tunisie Télécom · Stage,network technician,"tcp/ip, cisco, firewalls, routing, switching",63
"Tunis,  Tunisia",VERMEG for Banking & Insurance Software,software engineer,"java, python, c++, agile methodology, software design patterns, test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",64
 Tunisia,ArabyAds · ,front end developer,"react, angular, vue.js, html, css, front-end",67
 Tunisia,VERMEG for Banking & Insurance Software · ,software development engineer,"java, python, c++, agile methodology, software design patterns\t",68
 Tunisia,Kpeiz · ,computer engineer,"java, python, c++, agile methodology, software design patterns",69
 Tunisia,Vynd,front end web developer,"react, angular, vue.js, html, css",70
 Tunisia,Wattnow,front end web developer,"react, angular, vue.js, html, css",71
"Tunis,  Tunisia",VERMEG for Banking & Insurance Software · ,international affairs analyst,"tableau, power bi, data warehousing, etl, business intelligence",72
"Hammem Chatt,  Ben Arous, Tunisia",VERMEG for Banking & Insurance Software · Contrat en alternance,software developer,"java, python, c++, agile methodology, software design patterns",73
"Hammem Chatt,  Ben Arous, Tunisia",Telecom For Future · Stage,developer iot,"blockchain architecture, smart contracts, solidity, web3.js, ethereum",74
Tunisia,VERMEG for Banking & Insurance Software · Contrat en alternance,software programmer,"java, python, c++, agile methodology, software design patterns",75
" Ben Arous, Tunisia",VERMEG for Banking & Insurance Software · ,software developer,"java, python, c++, agile methodology, software design patterns",76
" Bizerte, Tunisia",VERMEG for Banking & Insurance Software · ,software developer,"springboot, java, restful apis, rest, agile",78
" Bizerte, Tunisia",Picosoft · Stage,trainee project,"java, python, c++, agile methodology, software design patterns	",79
 Tunisia,VERMEG for Banking & Insurance Software · ,it consultant,"client management, project management, needs analysis, strategic planning, technical writing",80
 Tunisia,CEF Conseil · Stage,full stack js engineer,"javascript, python, java, mysql, restful apis, vues js, node js",81
 Tunisia,Universidade de Brasília · Stage,full stack developer,"javascript, python, java, mysql, restful apis",82
 Tunisia,AFC Intermédiaire en Bourse  · Stage,java web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",83
" Sousse, Tunisia",VERMEG for Banking & Insurance Software,software developer,"java, python, c++, agile methodology, software design patterns",84
"El Omrane Superieur,  Tunisia",VERMEG for Banking & Insurance Software · ,cybersecurity engineer,"cybersecurity frameworks, threat intelligence, incident response, security operations center soc, siem",87
"El Omrane Superieur,  Tunisia",Centre d'innovation technopole el Ghazela · Stage,end of studies project internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",88
"El Omrane Superieur,  Tunisia",MS Solutions (Monetics Services Solutions) · Stage,course development,"java, python, c++, agile methodology, software design patterns	",89
"Ezzahra,  Ben Arous, Tunisia",Udemy Academy,content marketing,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",90
 Tunisia,VERMEG for Banking & Insurance Software · ,software developer,"java, python, c++, agile methodology, software design patterns",91
 Tunisia,Proxym Group · Stage,intern full stack developer,"javascript, java, mysql, restful apis, front-end, back-end, angular, typescript",92
"Tunis,  Tunisia",VERMEG for Banking & Insurance Software · ,software developer,"java, agile methodology, software design patterns, springboot",93
 Tunisia,VERMEG for Banking & Insurance Software · ,technical project manager,"troubleshooting, agile methodology, software design patterns, project management",95
 Tunisia,VERMEG for Banking & Insurance Software · Stage,software developer,"agile methodology, software design patterns",96
"El Menzah,  Tunisia",VERMEG for Banking & Insurance Software,software developer,"java, rest, springboot, apis",97
"El Menzah,  Tunisia",Mezzo Relation Client,orange customer advisor,"product development, product strategy, market analysis, user research, roadmapping",98
Tunisia,VERMEG for Banking & Insurance Software · ,software developer chez vermeg for banking insurance software,"python, django, agile methodology, software design patterns",100
 Tunisia,VERMEG for Banking & Insurance Software · ,software developer,".net, c#, agile, apis",101
 Tunisia,VERMEG for Banking & Insurance Software,software developer,"angular, typescript, agile methodology",102
"Tunis,  Tunisia",JOKER ESEN,security department manager,"risk management, security compliance, security governance, incident response, security architecture",105
 Tunisia,VERMEG for Banking & Insurance Software · Contrat en alternance,software developer,"python, agile methodology, software design patterns, django",106
 Tunisia,VERMEG for Banking & Insurance Software · Contrat en alternance,software developer,"java, springboot, rest",107
 Tunisia,CRTEn · Stage,support internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",108
"Sidi Thabet,  Ariana, Tunisia",VERMEG for Banking & Insurance Software · Contrat en alternance,software developer,".net, c#, html, css, rest",110
 Tunisia,VERMEG for Banking & Insurance Software,qa software engineer,"test planning, test automation, regression testing, load testing, bug tracking, test automation, test planning, performance testing, agile testing, test case design, java, python, c++, agile methodology, software design patterns\t",111
 Tunisia,ATS - Digital Dev,mean stack developer internship,"java, javascript, c++, rest",112
" Ariana, Tunisia",VERMEG for Banking & Insurance Software,devops engineer,"automation, ci/cd, cloud computing, docker, python, elk stack, linux administration, scripting, continuous integration and deployment ci/cd, containerization, git, jenkins, kubernetes, configuration management, continuous integration, continuous delivery, configuration management, scripting",113
" Ariana, Tunisia",Business & Decision,devops,"automation, ci/cd, cloud computing, docker, python, elk stack, linux administration, scripting, continuous integration and deployment ci/cd, containerization, git, jenkins, kubernetes, configuration management, continuous integration, continuous delivery, configuration management, scripting",114
" Ariana, Tunisia",Mobitec,systems and networks engineer,"linux, windows server, virtualization, network administration, backup and recovery",115
 Tunisia,VERMEG for Banking & Insurance Software,software developer,"angular, typescript, api, rest, agile",116
"Ezzahra,  Ben Arous, Tunisia",VERMEG for Banking & Insurance Software · ,java developer,"java, springboot, .net, c#, agile methodology, software design patterns, apis",118
"Ezzahra,  Ben Arous, Tunisia",XPERTOS-GROUP · ,it consultant,"client management, project management, needs analysis, strategic planning, technical writing",119
"Ezzahra,  Ben Arous, Tunisia",ISP · Stage,javascript developer,"javascript, java, springboot, apis",120
"Ezzahra,  Ben Arous, Tunisia",BOUCHAMAOUI INDUSTRIES · Stage,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",121
 Tunisia,VERMEG for Banking & Insurance Software · ,mobile developer,"java, swift, react native, ios development, android development",122
 Tunisia,Telnet,software engineer intern,"front-end, back-end, agile methodology, software design patterns",123
" Ariana, Tunisia",VERMEG for Banking & Insurance Software · ,software programmer,"java, python, c++, agile methodology, software design patterns",125
" Ariana, Tunisia",Saprotec Engineering · Temps partiel,web development intern,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",126
" Ariana, Tunisia",WE_Magazine · Temps partiel,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",127
Tunisia,VERMEG for Banking & Insurance Software,frontend web developer,"front-end development, html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",128
Tunisia,SeedUp · Stage,android developer,"java, kotlin, android, apis, rest, software design patterns",129
"La Médina,  Sfax, Tunisia",VERMEG for Banking & Insurance Software,software development engineer,"java, springboot",130
"La Médina,  Sfax, Tunisia",Telnet,ios developer,"swift, react native, ios development",131
"La Médina,  Sfax, Tunisia",Media Center Development,development software,"software development, front-end, back-end, agile methodology, software design patterns",132
"La Médina,  Sfax, Tunisia",Media Center Development,mobile development initiation internship,"java, swift, react native, ios development, android development",133
 Tunisia,VERMEG for Banking & Insurance Software,business analyst,"requirements gathering, process modeling, systems analysis, data mapping, user acceptance testing uat, requirements gathering, process mapping, agile methodology, project management, business intelligence bi, data warehousing, data mining, data visualization, sql, reporting tools, tableau, power bi, data warehousing, etl, business intelligence",134
"Ariana,  Ariana, Tunisia",VERMEG for Banking & Insurance Software,software developer,".net, c#, java, rest",135
" Bizerte, Tunisia",VERMEG for Banking & Insurance Software · ,software developer,"angular, front-end, typescript",136
"Le Bardo,  Tunisia",VERMEG for Banking & Insurance Software · Contrat en alternance,software programmer,"java, springboot, mysql, sql",138
"Tunis,  Tunisia",VERMEG for Banking & Insurance Software · ,software developer symfony,"symfony, javascript, rest, api",140
"Délégation Djerba Midoun,  Médenine, Tunisia",Sofrecom Tunisie · ,internship trainee,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",142
"Aldgate, Angleterre, Royaume-Uni",VERMEG for Banking & Insurance Software,software developer,"symfony, rest, api, sql, agile",143
"El Menzah,  Tunisia",VERMEG for Banking & Insurance Software · ,software developer,"front-end, back-end, java",145
"El Menzah,  Tunisia",Indépendant,full stack developer,"javascript, python, java, mysql, restful apis, front-end, back-end, full-stack development",146
Tunisia,VERMEG for Banking & Insurance Software,software developer,"python, django, nosql, mongodb",149
Tunisia,SMART TECK · Stage,j2ee developer,"java, springboot, agile methodology, software design patterns, apis, jee",150
Tunisia,allience technologies · Stage,net software developer,".net, java, c#, front end, back end",151
" Ariana, Tunisia",VERMEG for Banking & Insurance Software · ,software programmer,"java, springboot, mysql, sql, html, css",152
"Soukra,  Ariana, Tunisia",VERMEG for Banking & Insurance Software,it support engineer,"help desk, troubleshooting, remote desktop, active directory, hardware maintenance",153
"Soukra,  Ariana, Tunisia",Marais ingenierie,test technician,"test automation, test planning, performance testing, agile testing, test case design",154
Luxembourg,BNP Paribas Cardif · ,business analyst developer,"power bi, data warehousing, etl, business intelligence",155
Luxembourg,VERMEG for Banking & Insurance Software · ,security developer,"cybersecurity frameworks, threat intelligence, incident response, security operations center soc, siem",156
Luxembourg,Centre National de la Cartographie et de la Télédétection · Stage,developer internship,"java, springboot, agile methodology, software design patterns, apis",157
Luxembourg,Smile Kids,marketing,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",158
"Carthage,  Tunisia",VERMEG for Banking & Insurance Software,software programmer,"c#, .net, java, front-end, back-end, sql",159
 Tunisia,Coriolis · ,security analyst programmer,"cybersecurity frameworks, threat intelligence, incident response, security operations center soc, siem",163
" Ben Arous, Tunisia",Union Internationale de Banques · ,it manager,"client management, project management, needs analysis, strategic planning, technical writing",164
 Tunisia,VERMEG for Banking & Insurance Software,software developer,"angular, typescript, sql, front-end development",165
Tunisia,VERMEG for Banking & Insurance Software,testing engineer of tests,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",167
 Tunisia,VERMEG for Banking & Insurance Software · ,software developer,"java, python, c++, agile methodology, software design patterns",168
 Tunisia,VERMEG for Banking & Insurance Software · ,developer applications,"java, swift, react native, ios development, android development",170
"Ariana,  Ariana, Tunisia",VERMEG for Banking & Insurance Software · ,security analyst developer,"cybersecurity frameworks, threat intelligence, incident response, security operations center soc, siem",171
"Ariana,  Ariana, Tunisia",Light My Web · ,full stack engineer,"javascript, mysql, restful apis, front-end, back-end",172
"Ariana,  Ariana, Tunisia",Placeholder Apps,web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",173
 Tunisia,VERMEG for Banking & Insurance Software,software developer,"java, springboot, sql, agile methodology, software design patterns",174
" Ben Arous, Tunisia",Tunisie Télécom,support technicien,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",175
" La Manouba, Tunisia",VERMEG for Banking & Insurance Software · Contrat en alternance,software developer,"java, python, c++, agile methodology, software design patterns",177
" La Manouba, Tunisia",Indépendant,independent,"cisco networking, lan/wan, firewalls, routing protocols, security",178
" La Manouba, Tunisia",La Poste Tunisienne,php developer,"php, symfony, rest apis",179
" Ben Arous, Tunisia",VERMEG for Banking & Insurance Software,web developer,"javascript, python, java, mysql, restful apis, html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js, java, swift, react native, ios development, android development, ios, android, swift, kotlin, mobile app design, python, tensorflow, pytorch, natural language processing nlp, computer vision, react, angular, vue.js, html, css, python, java, node.js, restful apis, database design, blockchain architecture, smart contracts, solidity, web3.js, ethereum, react, angular, html5, css3, cross-browser compatibility, unity, c#, game design, game physics, game engine optimization, java, python, c++, agile methodology, software design patterns\t, java, python, c++, agile methodology, software design patterns, .net, c#, agile methodology, software design patterns, apis, angular, agile methodology, software design patterns, apis, java, springboot, agile methodology, software design patterns, apis",180
" Ben Arous, Tunisia",VERMEG for Banking & Insurance Software · Contrat en alternance,mobile application developer,"java, swift, react native, ios development, android development",181
" Ben Arous, Tunisia",M AND EL SOLUTION · Stage,development trainee,"agile methodology, software design patterns",182
 Tunisia,VERMEG for Banking & Insurance Software · Contrat en alternance,java software developer,"java, .net, c#, agile methodology, software design patterns, apis",183
 Tunisia,Le Moteur Moderne,maintenance it security of networks,"security assessments, vulnerability management, security incident response, penetration testing, threat hunting",184
France,VERMEG for Banking & Insurance Software · Stage,business intelligence engineer,"tableau, power bi, data warehousing, etl, business intelligence, bi",185
" Nabeul, Tunisia",VERMEG for Banking & Insurance Software · ,software developer,"java, springboot, c++, agile methodology, software design patterns, nosql, cassandra, mongodb",186
"Ariana Ville,  Ariana, Tunisia",VERMEG for Banking & Insurance Software,business analyst,"requirements gathering, process modeling, systems analysis, data mapping, user acceptance testing uat, requirements gathering, process mapping, agile methodology, project management, business intelligence bi, data warehousing, data mining, data visualization, sql, reporting tools, tableau, power bi, data warehousing, etl, business intelligence",190
"Ariana Ville,  Ariana, Tunisia",INTERCOM Technologies · ,networking technician,"tcp/ip, cisco, firewalls, routing, switching",191
"Ariana Ville,  Ariana, Tunisia",Tunisie Télécom · Stage,it support technician,"help desk, troubleshooting, remote desktop, active directory, hardware maintenance",192
"Ariana Ville,  Ariana, Tunisia",attijari bank · Stage,it technician,"help desk, troubleshooting, remote desktop, active directory, hardware maintenance",193
 Tunisia,VERMEG for Banking & Insurance Software,java software developer,"java, .net, c#, restful apis, sql",195
 Tunisia,Smile Kids,robotics host and creative programming,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",196
 Tunisia,Centre National de la Cartographie et de la Télédétection,developer trainee,"java, springboot, agile methodology, software design patterns, apis",197
"Tunis,  Tunisia",VERMEG for Banking & Insurance Software,software developer,"java, python, c++, agile methodology, software design patterns",198
"Tunis,  Tunisia",Centre National de l'Informatique,java developer,"java, springboot, agile methodology, software design patterns, apis",199
 Tunisia,VERMEG for Banking & Insurance Software,software developer,"c++, agile methodology, software design patterns",200
 Tunisia,VERMEG for Banking & Insurance Software · ,software developer,"java, agile methodology, software design patterns",201
 Tunisia,ARSELA · Stage,developer mean stack,"javascript, java, mysql, restful apis, php",202
 Tunisia,Rayen Soft · Stage,symfony developer,"php, symfony, apis, sql, mysql",203
 Tunisia,Rayen Soft · Stage,web developer,"html, css, javascript, php, responsive design, javascript, angular, typescript",204
" Ariana, Tunisia",VERMEG for Banking & Insurance Software · Contrat en alternance,software programmer,"java, springboot, rest, agile",205
" La Manouba, Tunisia",VERMEG for Banking & Insurance Software · ,software developer,"c, c++, sql, mysql",206
" La Manouba, Tunisia",ENDA INTER ARABE · Stage,full stack developer laravel php mysql,"laravel, php, mysql, sql, apis, rest",207
"Tunis,  Tunisia",VERMEG for Banking & Insurance Software · ,business analyst,"requirements gathering, process modeling, systems analysis, data mapping, user acceptance testing uat, requirements gathering, process mapping, agile methodology, project management, business intelligence bi, data warehousing, data mining, data visualization, sql, reporting tools, tableau, power bi, data warehousing, etl, business intelligence",209
"Tunis,  Tunisia",VERMEG for Banking & Insurance Software,software developer,"laravel, php, nosql, mongodb",210
 Tunisia,Tunisie Télécom,worker internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",213
" Sousse, Tunisia",Tunisie Télécom · Stage,support technicien,"hardware troubleshooting, software troubleshooting, remote support, networking",214
"Le Bardo,  Tunisia",VERMEG for Banking & Insurance Software · Contrat en alternance,software programmer,"php, laravel, agile methodology, software design patterns",215
 Tunisia,VERMEG for Banking & Insurance Software · Contrat en alternance,software developer,"java, springboot, nosql, mongodb, rest, apis",216
" Sfax, Tunisia",VERMEG for Banking & Insurance Software,software development engineer,"java, python, c++, c, php, sql",217
" Sfax, Tunisia",Lézard-com,full stack web developer,"html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",218
" Sfax, Tunisia",Agence web Cresus,full stack web developer,"front-end, back-end, html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js",219
" Sfax, Tunisia",E-Fast,mobile app developer,"java, swift, react native, ios development, android development, ios, android, swift, kotlin, mobile app design",220
" Sfax, Tunisia",Extra info services,web developer,"content management systems cms, responsive design, javascript, react, node.js",221
 Tunisia,VERMEG for Banking & Insurance Software · ,software developer,".net, c#, java, rest, sql",222
 Tunisia,DeWinter group ch · ,full stack web developer,"html, css, javascript, php, laravel, symfony",226
 Tunisia,Genioworks · ,web developer,"php, javascript, react, node.js",227
 Tunisia,Squirro IT · Stage,web developer,"html, css, php, content management systems cms, responsive design, javascript, react, node.js",228
"Nabeul,  Nabeul, Tunisia",VERMEG for Banking & Insurance Software · Contrat en alternance,software developer,"php, agile methodology, software design patterns, laravel",230
"Paris, Île-de-France, France",VERMEG for Banking & Insurance Software · ,devops engineer,"automation, ci/cd, cloud computing, docker, elk stack, linux administration, scripting, continuous integration and deployment ci/cd, containerization, git, jenkins, kubernetes, configuration management, continuous integration, continuous delivery, configuration management, scripting",231
"Paris, Île-de-France, France",SACEM GROUP,devops engineer,"automation, ci/cd, cloud computing, docker, python, elk stack, linux administration, scripting, continuous integration and deployment ci/cd, containerization, git, jenkins, kubernetes, configuration management, continuous integration, continuous delivery, configuration management, scripting",232
"Paris, Île-de-France, France",Ooredoo Tunisie,devops intern engineer,"automation, ci/cd, cloud computing, docker, python, elk stack, linux administration, scripting, continuous integration and deployment ci/cd, containerization, git, jenkins, kubernetes, configuration management, continuous integration, continuous delivery, configuration management, scripting",233
Tunisia,Inetum · Full-time,full stack engineer,"fron-end development, back-end development, sql",234
Tunisia,Groupe Ténor · Full-time,backend software engineer,"java, springboot, agile, sql, rest",235
Tunisia,Inetum · Full-time,integration consultant,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",236
"Ben Arous, Tunisia",Inetum · Full-time,technical consultant,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",237
"Ben Arous, Tunisia",HLi Tunisie · Full-time,technical consultant,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",238
Tunisia,ASM - All Soft Multimedia,functional consultant erp,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",239
Tunisia,OPTIMA Junior Entreprise,responsable communications marketing,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",240
Tunisia,Inetum · Internship,full stack engineer,"javascript, python, java, mysql, restful apis",241
Tunisia,EY · Internship,computer emergency response team,"risk management, security compliance, security governance, incident response, security architecture",242
Tunisia,Kaoun - كَوْن · Internship,frontend mobile developer,"design, java, swift, react native, ios development, android development",243
"Délégation Ariana Ville, Ariana, Tunisia",Inetum · Internship,full stack intern developer,"javascript, python, java, mysql, restful apis",244
"Délégation Ariana Ville, Ariana, Tunisia",Spark-it Group · Internship,full stack intern developer,"javascript, python, java, mysql, restful apis",245
"Délégation Ariana Ville, Ariana, Tunisia",CPG · Internship,full stack intern developer,"javascript, python, java, mysql, restful apis",246
"Délégation Ariana Ville, Ariana, Tunisia",Finlogik Offshore Solutions · Internship,full stack intern developer,"javascript, python, java, mysql, restful apis",247
Tunisia,Inetum · Apprenticeship,consultant crm,"java, python, c++, agile methodology, software design patterns",248
Tunisia,HLi Tunisie · Apprenticeship,consultant crm,"java, python, c++, agile methodology, software design patterns",249
"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",Inetum · Full-time,senior software development engineer,"agile methodology, software design patterns",250
"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",NCR Corporation · Full-time,software development engineer,"java, python, c++",251
"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",BIAT,software development engineer,"java, python, c++, agile methodology, software design patterns",252
"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",Linedata,software development engineer,"java, python, c++, agile methodology, software design patterns",253
"Sousse, Tunisia",Seabex · Full-time,back end developer,"node.js, restful apis, database design",254
"Sousse, Tunisia",HADRUM,back end developer,"laravel, php, restful apis, sql",255
"Sousse, Tunisia",I.T.Grapes,back end developer,springboot,256
"Lille, Hauts-de-France, France",Inetum · Permanent,robotic process automation consultant,"robotics, patterns, automation",259
"Lille, Hauts-de-France, France",Talan Solutions (EXL Group) · Permanent,robotic process automation consultant,"java, python, c++, agile methodology, software design patterns",260
"Lille, Hauts-de-France, France",Compart Southern European Region · Internship,developer r d,"javascript, python, java, mysql, restful apis, html, css, javascript, php, content management systems cms, responsive design, javascript, react, node.js, java, swift, react native, ios development, android development, ios, android, swift, kotlin, mobile app design, python, tensorflow, pytorch, natural language processing nlp, computer vision, react, angular, vue.js, html, css, python, java, node.js, restful apis, database design, blockchain architecture, smart contracts, solidity, web3.js, ethereum, react, angular, html5, css3, cross-browser compatibility, unity, c#, game design, game physics, game engine optimization, java, python, c++, agile methodology, software design patterns, .net, c#, agile methodology, software design patterns, apis, angular, agile methodology, software design patterns, apis, java, springboot, agile methodology, software design patterns, apis",261
"Lille, Hauts-de-France, France",SiFAST · Internship,developer java jee,"java, j2e, jee, agile, apis",262
